fecha,region,ciudad,tienda,categoria,subcategoria,producto,unidades,precio_unitario,descuento_pct,costo_unitario,canal,vendedor
2024-01-03,Norte,Monterrey,TDA-001,Electronica,Celulares,iPhone 15,12,18999,5,14200,Online,Carlos Mendez
2024-01-03,Norte,Monterrey,TDA-001,Electronica,Laptops,MacBook Air M2,4,28500,0,21000,Tienda,Carlos Mendez
2024-01-04,Centro,CDMX,TDA-002,Ropa,Caballero,Chamarra Piel,25,1299,10,480,Tienda,Ana Torres
2024-01-04,Centro,CDMX,TDA-002,Hogar,Cocina,Licuadora Oster,18,899,0,320,Online,Ana Torres
2024-01-05,Sur,Cancun,TDA-003,Electronica,Audio,AirPods Pro,30,4999,5,3200,Online,Luis Ruiz
2024-01-05,Sur,Cancun,TDA-003,Ropa,Dama,Vestido Verano,45,599,15,180,Tienda,Luis Ruiz
2024-01-06,Occidente,Guadalajara,TDA-004,Electronica,Celulares,Samsung S24,20,16499,0,12000,Tienda,Sofia Reyes
2024-01-06,Occidente,Guadalajara,TDA-004,Hogar,Muebles,Sala Moderna,3,12500,10,7800,Tienda,Sofia Reyes
2024-01-07,Norte,Monterrey,TDA-001,Deportes,Calzado,Nike Air Max,35,2499,0,980,Online,Carlos Mendez
2024-01-08,Centro,CDMX,TDA-005,Electronica,Laptops,Dell XPS 15,6,32000,5,24000,Tienda,Marco Silva
2024-01-08,Centro,CDMX,TDA-005,Ropa,Dama,Bolsa Coach,14,3200,0,1100,Tienda,Marco Silva
2024-01-09,Sur,Merida,TDA-006,Hogar,Electrodomesticos,Refrigerador Samsung,5,18500,8,13000,Tienda,Patricia Lopez
2024-01-09,Sur,Merida,TDA-006,Deportes,Fitness,Bicicleta Spinning,8,6500,10,3800,Online,Patricia Lopez
2024-01-10,Occidente,Guadalajara,TDA-004,Electronica,Celulares,iPhone 15 Pro,9,24999,0,18500,Online,Sofia Reyes
2024-01-11,Norte,Chihuahua,TDA-007,Ropa,Caballero,Traje Ejecutivo,12,4500,5,1800,Tienda,Roberto Diaz
2024-01-12,Centro,Puebla,TDA-008,Hogar,Cocina,Cafetera Nespresso,22,3200,0,1400,Online,Elena Castro
2024-01-13,Sur,Cancun,TDA-003,Electronica,Audio,Sony WH1000XM5,16,6999,10,4800,Online,Luis Ruiz
2024-01-14,Norte,Monterrey,TDA-001,Deportes,Outdoor,Tienda Camping,10,2800,0,1200,Online,Carlos Mendez
2024-01-15,Centro,CDMX,TDA-002,Electronica,Tablets,iPad Pro 12,7,22000,0,16000,Tienda,Ana Torres
2024-01-16,Occidente,Leon,TDA-009,Ropa,Dama,Zapatos Gucci,8,8500,0,2800,Tienda,Carmen Vega
2024-02-01,Norte,Monterrey,TDA-001,Electronica,Celulares,iPhone 15,15,18999,3,14200,Online,Carlos Mendez
